Wavelength (nm),T
802.00,6.29727E-12
803.00,7.76414E-12
804.00,9.59367E-12
805.00,1.15095E-11
806.00,1.28525E-11
807.00,1.29421E-11
808.00,1.17995E-11
809.00,1.00987E-11
810.00,8.45339E-12
811.00,7.12194E-12
812.00,6.13239E-12
813.00,5.43348E-12
814.00,4.96541E-12
815.00,4.68152E-12
816.00,4.55141E-12
817.00,4.55947E-12
818.00,4.70331E-12
819.00,4.99352E-12
820.00,5.45528E-12
821.00,6.13242E-12
822.00,7.09473E-12
823.00,8.45037E-12
824.00,1.03655E-11
825.00,1.30944E-11
826.00,1.70207E-11
827.00,2.27003E-11
828.00,3.08526E-11
829.00,4.21514E-11
830.00,5.65433E-11
831.00,7.213E-11
832.00,8.50415E-11
833.00,9.20598E-11
834.00,9.34136E-11
835.00,9.18269E-11
836.00,8.99852E-11
837.00,8.9547E-11
838.00,9.14121E-11
839.00,9.62024E-11
840.00,1.04613E-10
841.00,1.17669E-10
842.00,1.36995E-10
843.00,1.65199E-10
844.00,2.06537E-10
845.00,2.6809E-10
846.00,3.61969E-10
847.00,5.09544E-10
848.00,7.49706E-10
849.00,1.15492E-09
850.00,1.85995E-09
851.00,3.10564E-09
852.00,5.18317E-09
853.00,8.05218E-09
854.00,1.06942E-08
855.00,1.19558E-08
856.00,1.21258E-08
857.00,1.21239E-08
858.00,1.25185E-08
859.00,1.35984E-08
860.00,1.56308E-08
861.00,1.90371E-08
862.00,2.45684E-08
863.00,3.35864E-08
864.00,4.85581E-08
865.00,7.38053E-08
866.00,1.15895E-07
867.00,1.80419E-07
868.00,2.59325E-07
869.00,3.22342E-07
870.00,3.48914E-07
871.00,3.53257E-07
872.00,3.58086E-07
873.00,3.7731E-07
874.00,4.19882E-07
875.00,4.96515E-07
876.00,6.25771E-07
877.00,8.43163E-07
878.00,1.22055E-06
879.00,1.91414E-06
880.00,3.29869E-06
881.00,6.40519E-06
882.00,1.4704E-05
883.00,4.45063E-05
884.00,2.49531E-04
885.00,3.87829E-03
886.00,3.57701E-04
887.00,1.46048E-04
888.00,9.64307E-05
889.00,7.71795E-05
890.00,6.72043E-05
891.00,6.07675E-05
892.00,5.63278E-05
893.00,5.38333E-05
894.00,5.37334E-05
895.00,5.67809E-05
896.00,6.43463E-05
897.00,7.92817E-05
898.00,1.08122E-04
899.00,1.67764E-04
900.00,3.10281E-04
901.00,7.31163E-04
902.00,2.0695E-03
903.00,2.11171E-03
904.00,9.22617E-04
905.00,5.04767E-04
906.00,3.51921E-04
907.00,2.92158E-04
908.00,2.77377E-04
909.00,2.94366E-04
910.00,3.43767E-04
911.00,4.33566E-04
912.00,5.68658E-04
913.00,7.18153E-04
914.00,7.89451E-04
915.00,7.3255E-04
916.00,6.2076E-04
917.00,5.27813E-04
918.00,4.74759E-04
919.00,4.6188E-04
920.00,4.90865E-04
921.00,5.74218E-04
922.00,7.46114E-04
923.00,1.0859E-03
924.00,1.74729E-03
925.00,2.75369E-03
926.00,3.06645E-03
927.00,2.21209E-03
928.00,1.44022E-03
929.00,1.01872E-03
930.00,8.09136E-04
931.00,7.18923E-04
932.00,7.10408E-04
933.00,7.80082E-04
934.00,9.56788E-04
935.00,1.32217E-03
936.00,2.04781E-03
937.00,3.20845E-03
938.00,3.58394E-03
939.00,2.41728E-03
940.00,1.41939E-03
941.00,9.02552E-04
942.00,6.42418E-04
943.00,5.06943E-04
944.00,4.38032E-04
945.00,4.10879E-04
946.00,4.1645E-04
947.00,4.55355E-04
948.00,5.36926E-04
949.00,6.80178E-04
950.00,9.06856E-04
951.00,1.18397E-03
952.00,1.31995E-03
953.00,1.13397E-03
954.00,8.16858E-04
955.00,5.69314E-04
956.00,4.13286E-04
957.00,3.19249E-04
958.00,2.62918E-04
959.00,2.30131E-04
960.00,2.13376E-04
961.00,2.09121E-04
962.00,2.16532E-04
963.00,2.37222E-04
964.00,2.76036E-04
965.00,3.43568E-04
966.00,4.62776E-04
967.00,6.87477E-04
968.00,1.16054E-03
969.00,2.31446E-03
970.00,5.24707E-03
971.00,7.38626E-03
972.00,4.15947E-03
973.00,2.16927E-03
974.00,1.34839E-03
975.00,9.75742E-04
976.00,7.93884E-04
977.00,7.10144E-04
978.00,6.89435E-04
979.00,7.21571E-04
980.00,8.11872E-04
981.00,9.80829E-04
982.00,1.26689E-03
983.00,1.71522E-03
984.00,2.2831E-03
985.00,2.61956E-03
986.00,2.33649E-03
987.00,1.73847E-03
988.00,1.23878E-03
989.00,9.12481E-04
990.00,7.11594E-04
991.00,5.89357E-04
992.00,5.17E-04
993.00,4.78739E-04
994.00,4.6678E-04
995.00,4.78642E-04
996.00,5.16301E-04
997.00,5.86886E-04
998.00,7.05358E-04
999.00,9.00551E-04
1000.00,1.22722E-03
1001.00,1.78439E-03
1002.00,2.70366E-03
1003.00,3.89262E-03
1004.00,4.44316E-03
1005.00,3.73042E-03
1006.00,2.6943E-03
1007.00,1.94733E-03
1008.00,1.48972E-03
1009.00,1.21873E-03
1010.00,1.06339E-03
1011.00,9.84969E-04
1012.00,9.64895E-04
1013.00,9.97584E-04
1014.00,1.08801E-03
1015.00,1.25314E-03
1016.00,1.52756E-03
1017.00,1.97494E-03
1018.00,2.70338E-03
1019.00,3.85327E-03
1020.00,5.40045E-03
1021.00,6.59411E-03
1022.00,6.31762E-03
1023.00,5.016E-03
1024.00,3.77154E-03
1025.00,2.91229E-03
1026.00,2.37541E-03
1027.00,2.05832E-03
1028.00,1.89292E-03
1029.00,1.84382E-03
1030.00,1.89968E-03
1031.00,2.06918E-03
1032.00,2.38159E-03
1033.00,2.88801E-03
1034.00,3.64524E-03
1035.00,4.61999E-03
1036.00,5.43774E-03
1037.00,5.38969E-03
1038.00,4.41019E-03
1039.00,3.23877E-03
1040.00,2.33394E-03
1041.00,1.72813E-03
1042.00,1.3355E-03
1043.00,1.08001E-03
1044.00,9.12331E-04
1045.00,8.02795E-04
1046.00,7.33916E-04
1047.00,6.95621E-04
1048.00,6.82557E-04
1049.00,6.92691E-04
1050.00,7.26707E-04
1051.00,7.87943E-04
1052.00,8.82682E-04
1053.00,1.02051E-03
1054.00,1.21379E-03
1055.00,1.47358E-03
1056.00,1.79577E-03
1057.00,2.13145E-03
1058.00,2.3636E-03
1059.00,2.36596E-03
1060.00,2.13599E-03
1061.00,1.79796E-03
1062.00,1.47058E-03
1063.00,1.20446E-03
1064.00,1.00432E-03
1065.00,8.5894E-04
1066.00,7.5543E-04
1067.00,6.83456E-04
1068.00,6.35702E-04
1069.00,6.07357E-04
1070.00,5.95538E-04
1071.00,5.98878E-04
1072.00,6.17298E-04
1073.00,6.5195E-04
1074.00,7.05301E-04
1075.00,7.81348E-04
1076.00,8.8592E-04
1077.00,1.02691E-03
1078.00,1.21401E-03
1079.00,1.45691E-03
1080.00,1.75978E-03
1081.00,2.1095E-03
1082.00,2.4596E-03
1083.00,2.72713E-03
1084.00,2.82954E-03
1085.00,2.74611E-03
1086.00,2.53175E-03
1087.00,2.26727E-03
1088.00,2.01213E-03
1089.00,1.79456E-03
1090.00,1.622E-03
1091.00,1.49232E-03
1092.00,1.40053E-03
1093.00,1.34171E-03
1094.00,1.31217E-03
1095.00,1.30973E-03
1096.00,1.33375E-03
1097.00,1.3852E-03
1098.00,1.46675E-03
1099.00,1.58305E-03
1100.00,1.74117E-03
1101.00,1.94899E-03
1102.00,2.22174E-03
1103.00,2.57826E-03
1104.00,3.04374E-03
1105.00,3.65081E-03
1106.00,4.43921E-03
1107.00,5.45165E-03
1108.00,6.72149E-03
1109.00,8.24703E-03
1110.00,9.95327E-03
1111.00,1.1663E-02
1112.00,1.31234E-02
1113.00,1.41127E-02
1114.00,1.45579E-02
1115.00,1.45554E-02
1116.00,1.429E-02
1117.00,1.39415E-02
1118.00,1.36411E-02
1119.00,1.34705E-02
1120.00,1.34784E-02
1121.00,1.36973E-02
1122.00,1.4156E-02
1123.00,1.48886E-02
1124.00,1.59408E-02
1125.00,1.73765E-02
1126.00,1.92852E-02
1127.00,2.17914E-02
1128.00,2.5069E-02
1129.00,2.93597E-02
1130.00,3.50016E-02
1131.00,4.24667E-02
1132.00,5.24144E-02
1133.00,6.57585E-02
1134.00,8.37443E-02
1135.00,1.08012E-01
1136.00,1.40591E-01
1137.00,1.83708E-01
1138.00,2.39263E-01
1139.00,3.0791E-01
1140.00,3.88048E-01
1141.00,4.75639E-01
1142.00,5.65692E-01
1143.00,6.54986E-01
1144.00,7.44218E-01
1145.00,8.384E-01
1146.00,9.4614E-01
1147.00,1.07925E+00
1148.00,1.25362E+00
1149.00,1.49196E+00
1150.00,1.82913E+00
1151.00,2.32253E+00
1152.00,3.07256E+00
1153.00,4.26639E+00
1154.00,6.27802E+00
1155.00,9.91584E+00
1156.00,1.70704E+01
1157.00,3.22881E+01
1158.00,6.34192E+01
1159.00,9.71364E+01
1160.00,8.50842E+01
1161.00,5.71796E+01
1162.00,3.96908E+01
1163.00,3.02648E+01
1164.00,2.51656E+01
1165.00,2.24634E+01
1166.00,2.1235E+01
1167.00,2.10298E+01
1168.00,2.16206E+01
1169.00,2.28817E+01
1170.00,2.47153E+01
1171.00,2.69961E+01
1172.00,2.95301E+01
1173.00,3.20466E+01
1174.00,3.4248E+01
1175.00,3.59125E+01
1176.00,3.69874E+01
1177.00,3.76049E+01
1178.00,3.80168E+01
1179.00,3.85069E+01
1180.00,3.93339E+01
1181.00,4.0715E+01
1182.00,4.28324E+01
1183.00,4.58396E+01
1184.00,4.985E+01
1185.00,5.48869E+01
1186.00,6.0781E+01
1187.00,6.70226E+01
1188.00,7.26579E+01
1189.00,7.64266E+01
1190.00,7.72807E+01
1191.00,7.50094E+01
1192.00,7.03705E+01
1193.00,6.45904E+01
1194.00,5.87575E+01
1195.00,5.35481E+01
1196.00,4.92624E+01
1197.00,4.59664E+01
1198.00,4.36151E+01
1199.00,4.2125E+01
1200.00,4.14099E+01
