Wavelength,T
970,9.5E-05
971,9.5E-05
972,9.5E-05
973,9.5E-05
974,9.5E-05
975,0.000132974
976,0.00146861
977,0.00266603
978,0.00198846
979,0.000693614
980,9.5E-05
981,9.5E-05
982,9.5E-05
983,9.5E-05
984,9.5E-05
985,9.5E-05
986,9.5E-05
987,9.5E-05
988,9.5E-05
989,9.5E-05
990,9.5E-05
991,9.5E-05
992,9.5E-05
993,9.5E-05
994,0.000760487
995,0.00146789
996,0.000897205
997,0.000142147
998,9.5E-05
999,9.5E-05
1000,9.5E-05
1001,9.5E-05
1002,9.5E-05
1003,9.5E-05
1004,9.5E-05
1005,9.5E-05
1006,9.5E-05
1007,9.5E-05
1008,9.5E-05
1009,9.5E-05
1010,9.5E-05
1011,9.5E-05
1012,9.5E-05
1013,9.5E-05
1014,9.5E-05
1015,9.5E-05
1016,9.5E-05
1017,9.5E-05
1018,9.5E-05
1019,9.5E-05
1020,9.5E-05
1021,9.5E-05
1022,9.5E-05
1023,9.5E-05
1024,9.5E-05
1025,9.5E-05
1026,9.5E-05
1027,9.5E-05
1028,9.5E-05
1029,9.5E-05
1030,9.5E-05
1031,9.5E-05
1032,9.5E-05
1033,9.5E-05
1034,9.5E-05
1035,9.5E-05
1036,9.5E-05
1037,0.000650981
1038,0.00138936
1039,0.000764733
1040,9.5E-05
1041,9.5E-05
1042,9.5E-05
1043,9.5E-05
1044,9.5E-05
1045,9.5E-05
1046,9.5E-05
1047,9.5E-05
1048,9.5E-05
1049,9.5E-05
1050,9.5E-05
1051,9.5E-05
1052,9.5E-05
1053,9.5E-05
1054,9.5E-05
1055,9.5E-05
1056,9.5E-05
1057,9.5E-05
1058,9.5E-05
1059,9.5E-05
1060,9.5E-05
1061,9.5E-05
1062,9.5E-05
1063,9.5E-05
1064,9.5E-05
1065,9.5E-05
1066,9.5E-05
1067,9.5E-05
1068,9.5E-05
1069,9.5E-05
1070,9.5E-05
1071,9.5E-05
1072,9.5E-05
1073,9.5E-05
1074,0.000130215
1075,0.000387039
1076,0.000392119
1077,0.000201479
1078,9.5E-05
1079,9.5E-05
1080,9.5E-05
1081,9.5E-05
1082,9.5E-05
1083,9.5E-05
1084,9.5E-05
1085,9.5E-05
1086,9.5E-05
1087,0.000113906
1088,0.0002518
1089,0.000352054
1090,0.000441565
1091,0.000381316
1092,0.00026795
1093,0.000148763
1094,9.5E-05
1095,9.5E-05
1096,9.5E-05
1097,9.50528E-05
1098,9.5E-05
1099,9.5E-05
1100,9.5E-05
1101,9.5E-05
1102,9.5E-05
1103,9.5E-05
1104,9.5E-05
1105,0.000168463
1106,0.000211951
1107,0.00031315
1108,0.000470229
1109,0.000644017
1110,0.000756309
1111,0.000852827
1112,0.000735842
1113,0.000551986
1114,0.000461796
1115,0.000300817
1116,0.000272666
1117,0.000238632
1118,0.00019771
1119,0.000157208
1120,0.000184683
1121,0.000115324
1122,0.000173344
1123,0.000161046
1124,0.000163446
1125,0.00010161
1126,0.000130519
1127,0.000124003
1128,9.57544E-05
1129,0.000174433
1130,9.5E-05
1131,0.000100883
1132,0.000116085
1133,0.000171299
1134,9.5E-05
1135,9.5E-05
1136,9.5E-05
1137,0.000147568
1138,9.5E-05
1139,9.5E-05
1140,9.5E-05
1141,0.00010736
1142,9.5E-05
1143,0.000100152
1144,9.5E-05
1145,0.000106448
1146,9.5E-05
1147,0.000107574
1148,0.000144351
1149,9.5E-05
1150,0.000174389
1151,0.000178979
1152,0.000222934
1153,0.000284162
1154,0.000263206
1155,0.000346244
1156,0.000437396
1157,0.000530121
1158,0.000739665
1159,0.00100019
1160,0.00136481
1161,0.00194912
1162,0.00299151
1163,0.00470372
1164,0.00819578
1165,0.015909001
1166,0.0344517
1167,0.072130101
1168,0.107212004
1169,0.098162505
1170,0.064164499
1171,0.039871901
1172,0.028330801
1173,0.0223626
1174,0.0191538
1175,0.0176049
1176,0.01706
1177,0.0171614
1178,0.017953099
1179,0.0193885
1180,0.0216531
1181,0.024845
1182,0.02939
1183,0.035833099
1184,0.044764101
1185,0.057484198
1186,0.076059002
1187,0.103570998
1188,0.144223997
1189,0.206448999
1190,0.305247004
1191,0.455786008
1192,0.697722984
1193,1.101629995
1194,1.767249964
1195,3.04351002
1196,6.083679944
1197,14.49189931
1198,26.06070042
1199,16.42059982
1200,6.00793995
1201,0.00604903
